aryne_ID,aryne_energy
aryne_901,-1245.9151
aryne_902,-489.0292
aryne_903,-488.9773
aryne_904,-614.4409
aryne_905,-660.1494
aryne_906,-1016.4031
aryne_907,-827.9382
aryne_908,-1170.7684
aryne_909,-1016.3991
aryne_910,-903.1287
aryne_911,-1283.9357
aryne_912,
aryne_913,-925.2529
aryne_914,-673.4904
aryne_915,-655.2858
aryne_916,-562.9318
aryne_917,-505.0497
aryne_918,-505.0067
aryne_919,-1267.9579
aryne_920,-1016.3312
aryne_921,-1000.3785
aryne_922,-720.8497
aryne_923,-720.8165
aryne_924,-582.4414
aryne_925,-697.3414
aryne_926,-922.9671
aryne_927,-941.2009
aryne_928,
aryne_929,-426.0652
aryne_930,
aryne_931,-617.0243
aryne_932,-850.081
aryne_933,-845.135
aryne_934,-614.3493
aryne_935,-582.4562
aryne_936,
aryne_937,-598.3517
aryne_938,-828.0075
aryne_939,-491.3058
aryne_940,-491.3174
aryne_941,-702.5257
aryne_942,-598.4351
aryne_943,-941.2152
aryne_944,-564.1299
aryne_945,-622.1374
aryne_946,-903.065
aryne_947,-936.232
aryne_948,-504.9841
aryne_949,-582.442
aryne_950,
aryne_951,-622.1516
aryne_952,-507.2815
aryne_953,-416.1468
aryne_954,-416.1519
aryne_955,-416.1475
aryne_956,-1229.8594
aryne_957,-614.4526
aryne_958,-922.9132
aryne_959,-635.4332
aryne_960,-941.2114
aryne_961,-395.5723
aryne_962,
aryne_963,-1032.222
aryne_964,-378.1019
aryne_965,-378.1037
aryne_966,-378.1049
aryne_967,-793.7242
aryne_968,-585.0126
aryne_969,-598.4931
aryne_970,-491.298
aryne_971,-491.2862
aryne_972,-1343.168
aryne_973,-1111.3371
aryne_974,-527.1546
aryne_975,-527.1628
aryne_976,-614.4067
aryne_977,
aryne_978,
aryne_979,-657.5042
aryne_980,-657.5001
aryne_981,-866.0248
aryne_982,
aryne_983,-560.3632
aryne_984,
aryne_985,-1113.9366
aryne_986,-463.0648
aryne_987,-693.4239
aryne_988,-1016.4191
aryne_989,-544.3108
aryne_990,-544.2606
aryne_991,
aryne_992,-827.996
aryne_993,-698.702
aryne_994,-813.5383
aryne_995,-884.8225
aryne_996,
aryne_997,-884.8037
aryne_998,-413.0105
aryne_999,-602.2484
aryne_1000,-906.9493
aryne_1001,-1000.3608
aryne_1002,-827.9412
aryne_1003,-693.311
aryne_1004,-789.3905
aryne_1005,-505.0846
aryne_1006,-586.3027
aryne_1007,-506.1624
aryne_1008,-431.1364
aryne_1009,-469.2568
aryne_1010,-978.2686
aryne_1011,-847.8708
aryne_1012,-395.5757
aryne_1013,-602.2359
aryne_1014,-506.0852
aryne_1015,
aryne_1016,-448.1451
aryne_1017,-811.9411
aryne_1018,-811.9804
aryne_1019,-936.1974
aryne_1020,-582.428
aryne_1021,
aryne_1022,-957.2013
aryne_1023,-543.1471
aryne_1024,-809.6921
aryne_1025,-811.9851
aryne_1026,-811.9535
aryne_1027,-1154.7773
aryne_1028,-618.3003
aryne_1029,-796.0102
aryne_1030,-795.9685
aryne_1031,-582.5176
aryne_1032,
aryne_1033,-1245.9509
aryne_1034,
aryne_1035,-485.2108
aryne_1036,-673.523
aryne_1037,-505.0272
aryne_1038,-1000.384
aryne_1039,-923.0059
aryne_1040,-825.3138
aryne_1041,-1154.7212
aryne_1042,-505.0613
aryne_1043,-505.0583
aryne_1044,-1000.2784
aryne_1045,-1000.2899
aryne_1046,-1138.7701
aryne_1047,-1138.7687
aryne_1048,-1000.3492
aryne_1049,-884.8008
aryne_1050,-903.0712
aryne_1051,-887.1778
aryne_1052,-926.7323
aryne_1053,-1020.1685
aryne_1054,-903.0607
aryne_1055,
aryne_1056,-904.2329
aryne_1057,-904.2847
aryne_1058,-634.2812
aryne_1059,-925.2054
aryne_1060,-901.9434
aryne_1061,-453.252
aryne_1062,-453.1797
aryne_1063,-622.0606
aryne_1064,
aryne_1065,-693.3061
aryne_1066,-1152.0602
aryne_1067,
aryne_1068,-602.3265
aryne_1069,-395.6121
aryne_1070,-507.3418
aryne_1071,-485.1767
aryne_1072,-827.9977
aryne_1073,-480.0808
aryne_1074,-752.8522
aryne_1075,-752.8579
aryne_1076,
aryne_1077,-997.9915
aryne_1078,
aryne_1079,-475.2827
aryne_1080,-475.2854
