data_source,regid,smiles
C:\Chem_Work\CompChem_Working\CCAS_Hetarynes_Local\csv_backups\input_csv_datasets\Sigman_ArBr_dataset.csv,arbr2144,NS(=O)(=O)c1cn(CC(F)(F)F)nc1Br
C:\Chem_Work\CompChem_Working\CCAS_Hetarynes_Local\csv_backups\input_csv_datasets\Sigman_ArBr_dataset.csv,arbr215,Cc1cc(Br)cc2ccoc12
C:\Chem_Work\CompChem_Working\CCAS_Hetarynes_Local\csv_backups\input_csv_datasets\Sigman_ArBr_dataset.csv,arbr2150,Brc1nnc(-c2ccccc2)o1
C:\Chem_Work\CompChem_Working\CCAS_Hetarynes_Local\csv_backups\input_csv_datasets\Sigman_ArBr_dataset.csv,arbr2152,N#Cc1nnc(Br)s1
C:\Chem_Work\CompChem_Working\CCAS_Hetarynes_Local\csv_backups\input_csv_datasets\Sigman_ArBr_dataset.csv,arbr2153,CC(C)(C)OC(=O)N1CCN(c2nnc(Br)s2)CC1
C:\Chem_Work\CompChem_Working\CCAS_Hetarynes_Local\csv_backups\input_csv_datasets\Sigman_ArBr_dataset.csv,arbr2154,Brc1nnc(-c2ccccc2)s1
C:\Chem_Work\CompChem_Working\CCAS_Hetarynes_Local\csv_backups\input_csv_datasets\Sigman_ArBr_dataset.csv,arbr2155,Brc1cc2c(-c3ccccc3)n[nH]c2nn1
C:\Chem_Work\CompChem_Working\CCAS_Hetarynes_Local\csv_backups\input_csv_datasets\Sigman_ArBr_dataset.csv,arbr2156,Brc1cc2ccccc2nn1
C:\Chem_Work\CompChem_Working\CCAS_Hetarynes_Local\csv_backups\input_csv_datasets\Sigman_ArBr_dataset.csv,arbr2157,Brc1nnc2ccccn12
C:\Chem_Work\CompChem_Working\CCAS_Hetarynes_Local\csv_backups\input_csv_datasets\Sigman_ArBr_dataset.csv,arbr2158,Brc1nnc2cccnn12
C:\Chem_Work\CompChem_Working\CCAS_Hetarynes_Local\csv_backups\input_csv_datasets\Sigman_ArBr_dataset.csv,arbr2159,Brc1nnc[nH]1
C:\Chem_Work\CompChem_Working\CCAS_Hetarynes_Local\csv_backups\input_csv_datasets\Sigman_ArBr_dataset.csv,arbr216,Cc1cc(Br)cc2cn[nH]c12
C:\Chem_Work\CompChem_Working\CCAS_Hetarynes_Local\csv_backups\input_csv_datasets\Sigman_ArBr_dataset.csv,arbr2160,Brc1nncs1
C:\Chem_Work\CompChem_Working\CCAS_Hetarynes_Local\csv_backups\input_csv_datasets\Sigman_ArBr_dataset.csv,arbr2161,Brc1cn(Cc2ccccc2)nn1
C:\Chem_Work\CompChem_Working\CCAS_Hetarynes_Local\csv_backups\input_csv_datasets\Sigman_ArBr_dataset.csv,arbr2162,Brc1nnnn1Cc1ccccc1
C:\Chem_Work\CompChem_Working\CCAS_Hetarynes_Local\csv_backups\input_csv_datasets\Sigman_ArBr_dataset.csv,arbr2163,Brc1nnnn1-c1ccccc1
C:\Chem_Work\CompChem_Working\CCAS_Hetarynes_Local\csv_backups\input_csv_datasets\Sigman_ArBr_dataset.csv,arbr2164,Brc1cc(C2CC2)on1
C:\Chem_Work\CompChem_Working\CCAS_Hetarynes_Local\csv_backups\input_csv_datasets\Sigman_ArBr_dataset.csv,arbr2165,C[Si](C)(C)c1cc(Br)no1
