arene_id,arene_smiles,aryne_id,aryne_smiles
arene_4845,c1ccc2sccc2c1,aryne_5565,c1ccc2ccsc2c#1
arene_4845,c1ccc2sccc2c1,aryne_5566,c1sc2ccccc2c#1
arene_4846,O=c1nnn2ccc(=O)sc2n1,aryne_5567,O=c1nnn2c#cc(=O)sc2n1
arene_4847,O=c1ccoc2ncnn12,aryne_5568,O=c1c#coc2ncnn12
arene_4848,O=c1ncon2occsn12,aryne_5569,O=c1ncon2oc#csn12
arene_4849,c1cc2onnc2[nH]1,aryne_5570,c1[nH]c2nnoc2c#1
arene_4850,O=c1ccc2sccc(=O)c2o1,aryne_5571,O=c1c#cc2sccc(=O)c2o1
arene_4850,O=c1ccc2sccc(=O)c2o1,aryne_5572,O=c1ccc2sc#cc(=O)c2o1
arene_4851,c1cc2nn[nH]c2s1,aryne_5573,c1sc2[nH]nnc2c#1
arene_4852,O=c1[nH]ccc2n[nH]c(=O)n12,aryne_5574,O=c1[nH]c#cc2n[nH]c(=O)n12
arene_4853,O=c1[nH]c(=O)c2sccc2o1,aryne_5575,O=c1[nH]c(=O)c2sc#cc2o1
arene_4854,c1c[nH]n2nnnnn2[nH]1,aryne_5576,c1[nH]n2nnnnn2[nH]c#1
arene_4855,O=c1cnoc2c(=O)cc[nH]c12,aryne_5577,O=c1cnoc2c(=O)c#c[nH]c12
arene_4856,c1csc2sccsc=2o1,aryne_5578,c1oc2sccsc=2sc#1
arene_4856,c1csc2sccsc=2o1,aryne_5579,c1sc2occsc=2sc#1
arene_4857,c1c[nH]c2snnoc=2[nH]1,aryne_5580,c1[nH]c2onnsc=2[nH]c#1
arene_4858,O=c1nc[nH]c2c(=O)[nH]ccc12,aryne_5581,O=c1nc[nH]c2c(=O)[nH]c#cc12
arene_4859,O=c1ccoc2[nH]ccc12,aryne_5582,O=c1c#coc2[nH]ccc12
arene_4859,O=c1ccoc2[nH]ccc12,aryne_5583,O=c1ccoc2[nH]c#cc12
arene_4860,O=c1ccn2c(=O)c(=O)c(=O)sn2[nH]1,aryne_5584,O=c1c#cn2c(=O)c(=O)c(=O)sn2[nH]1
arene_4861,O=c1cnn2sccn12,aryne_5585,O=c1cnn2sc#cn12
arene_4862,O=c1ccsc2[nH]ccc12,aryne_5586,O=c1c#csc2[nH]ccc12
arene_4862,O=c1ccsc2[nH]ccc12,aryne_5587,O=c1ccsc2[nH]c#cc12
arene_4863,O=c1oc2occc(=O)c2sc1=O,aryne_5588,O=c1oc2oc#cc(=O)c2sc1=O
arene_4864,O=c1cc2ccccn2nn1,aryne_5589,O=c1cc2c#cccn2nn1
arene_4864,O=c1cc2ccccn2nn1,aryne_5590,O=c1cc2ccc#cn2nn1
arene_4865,O=c1ccn2cnsn12,aryne_5591,O=c1c#cn2cnsn12
arene_4866,O=c1cc2scc[nH]c-2nc1=O,aryne_5592,O=c1cc2sc#c[nH]c-2nc1=O
arene_4867,O=c1sccn2onnon12,aryne_5593,O=c1sc#cn2onnon12
arene_4868,O=c1[nH]n2[nH]cc[nH]n2c(=O)o1,aryne_5594,O=c1[nH]n2[nH]c#c[nH]n2c(=O)o1
arene_4869,c1cnc2cccnc2c1,aryne_5595,c1cc2ncccc2nc#1
arene_4869,c1cnc2cccnc2c1,aryne_5596,c1cnc2cccnc2c#1
arene_4870,O=c1ccn2cnc(=O)oc2c1,aryne_5597,O=c1c#cn2cnc(=O)oc2c1
arene_4871,c1csc2snnoc=2s1,aryne_5598,c1sc2onnsc=2sc#1
arene_4872,O=c1ccc2[nH]cnsc1=2,aryne_5599,O=c1c#cc2[nH]cnsc1=2
arene_4873,c1cn2cnnc2nn1,aryne_5600,c1nnc2nncn2c#1
arene_4874,O=c1cccc2cn[nH]c(=O)n12,aryne_5601,O=c1c#ccc2cn[nH]c(=O)n12
arene_4875,O=c1[nH]n2c(=O)ccc(=O)n2[nH]1,aryne_5602,O=c1[nH]n2c(=O)c#cc(=O)n2[nH]1
arene_4876,c1nnn2[nH]ccon2n1,aryne_5603,c1[nH]n2nncnn2oc#1
arene_4877,O=c1ccc2c(=O)c(=O)c(=O)c2s1,aryne_5604,O=c1c#cc2c(=O)c(=O)c(=O)c2s1
arene_4878,O=c1[nH]ccc2cscc12,aryne_5605,O=c1[nH]c#cc2cscc12
arene_4879,c1cc2sccc2[nH]1,aryne_5606,c1[nH]c2ccsc2c#1
arene_4879,c1cc2sccc2[nH]1,aryne_5607,c1sc2cc[nH]c2c#1
arene_4880,O=c1ccn2[nH]c(=O)sc2c1,aryne_5608,O=c1c#cn2[nH]c(=O)sc2c1
arene_4881,c1c[nH]n2nconc-2[nH]1,aryne_5609,c1[nH]c2nocnn-2[nH]c#1
arene_4882,O=c1cnn2cnccc2c1,aryne_5610,O=c1cnn2cnc#cc2c1
arene_4883,O=c1ccc2c(=O)cnsc2[nH]1,aryne_5611,O=c1c#cc2c(=O)cnsc2[nH]1
arene_4884,O=c1cc2occc(=O)c2ns1,aryne_5612,O=c1cc2oc#cc(=O)c2ns1
arene_4885,O=c1ccn2c(=O)[nH]c(=O)[nH]c2n1,aryne_5613,O=c1c#cn2c(=O)[nH]c(=O)[nH]c2n1
arene_4886,O=c1oc2nsccn-2c(=O)c1=O,aryne_5614,O=c1oc2nsc#cn-2c(=O)c1=O
arene_4887,c1cc2nncnc2nn1,aryne_5615,c1nnc2ncnnc2c#1
arene_4888,O=c1ccc2cccn2[nH]1,aryne_5616,O=c1c#cc2cccn2[nH]1
arene_4888,O=c1ccc2cccn2[nH]1,aryne_5617,O=c1ccc2cc#cn2[nH]1
arene_4889,O=c1nnsc2c(=O)ccoc12,aryne_5618,O=c1nnsc2c(=O)c#coc12
arene_4890,c1csc2connn-2o1,aryne_5619,c1on2nnocc-2sc#1
arene_4891,O=c1ccc2ocnoc1=2,aryne_5620,O=c1c#cc2ocnoc1=2
arene_4892,O=c1[nH]cc2ccoc(=O)n2c1=O,aryne_5621,O=c1[nH]cc2c#coc(=O)n2c1=O
arene_4893,O=c1ncon2c(=O)ccn12,aryne_5622,O=c1ncon2c(=O)c#cn12
arene_4894,c1nn2sccsc-2no1,aryne_5623,c1sc2nocnn-2sc#1
arene_4895,O=c1ccn2nc[nH]n2c1=O,aryne_5624,O=c1c#cn2nc[nH]n2c1=O
arene_4896,O=c1occ2occc(=O)n2c1=O,aryne_5625,O=c1occ2oc#cc(=O)n2c1=O
arene_4897,O=c1ccc2cocnn1-2,aryne_5626,O=c1c#cc2cocnn1-2
arene_4898,c1coc2sccoc=2[nH]1,aryne_5627,c1[nH]c2occsc=2oc#1
arene_4898,c1coc2sccoc=2[nH]1,aryne_5628,c1oc2[nH]ccoc=2sc#1
arene_4899,O=c1c(=O)n2[nH]cc[nH]n2c1=O,aryne_5629,O=c1c(=O)n2[nH]c#c[nH]n2c1=O
