bad_hetero_ID,no_arene_smiles
no_arene_365,O=c1ncon2c(=O)cnn12
no_arene_366,O=c1sn2cnc(=O)n2s1
no_arene_367,O=c1nnoc2onnc(=O)c12
no_arene_368,c1non2cnocc-2[nH]1
no_arene_369,O=c1oc(=O)n2c(=O)snnn2c1=O
no_arene_370,O=c1ncn2c(=O)cnn2o1
no_arene_371,c1n[nH]n2nn[nH]n2s1
no_arene_372,O=c1cncc2nncnn12
no_arene_373,O=c1nc2cncnn2c(=O)[nH]1
no_arene_374,O=c1[nH]c2sc(=O)sc2s1
no_arene_375,O=c1oc(=O)n2c(=O)c(=O)c(=O)c(=O)n2c1=O
no_arene_376,O=c1nnc2ocnsc1=2
no_arene_377,O=c1ncc2csc(=O)n2o1
no_arene_378,O=c1nc2ocnc(=O)n2c(=O)o1
no_arene_379,O=c1cc2[nH]ncn2c(=O)s1
no_arene_380,O=c1cn[nH]n2c(=O)nncc12
no_arene_381,O=c1[nH]c2oc(=O)c(=O)sc2[nH]c1=O
no_arene_382,O=c1on2onnn2c1=O
no_arene_383,O=c1cc2nnc(=O)[nH]n2nn1
no_arene_384,O=c1nnc(=O)n2nnncn12
no_arene_385,O=c1nnc2nc(=O)sc(=O)n2o1
no_arene_386,O=c1cc2sncn2c(=O)s1
no_arene_387,O=c1ncc2snnc(=O)c2s1
no_arene_388,O=c1snc2cn[nH]n2c1=O
no_arene_389,O=c1nnc2c[nH]cc2[nH]1
no_arene_390,O=c1[nH]n2c(=O)[nH]c(=O)n2sc1=O
no_arene_391,O=c1cnn2sc(=O)c(=O)[nH]n2c1=O
no_arene_392,O=c1cnc2sc(=O)cnc2[nH]1
no_arene_393,n1nc2n[nH]nc2o1
no_arene_394,O=c1nnc2c(=O)c(=O)nnc1=2
no_arene_395,O=c1ocnn2[nH]cn[nH]n12
no_arene_396,O=c1cc2scnsc-2n1
no_arene_397,O=c1nnc2oc(=O)ncc2o1
no_arene_398,O=c1ncc(=O)n2c(=O)c(=O)cc1-2
no_arene_399,O=c1on2c(=O)ncn2c(=O)s1
no_arene_400,O=c1[nH]c2nncnc2s1
no_arene_401,O=c1cc2cnncc2no1
no_arene_402,O=c1nnc2c(=O)c(=O)[nH]c(=O)c=2c1=O
no_arene_403,O=c1[nH]c2c[nH]cc2[nH]1
no_arene_404,O=c1nnc2ncsc2s1
no_arene_405,c1nnnc2nsnc12
no_arene_406,O=c1nnn2cnnnc2n1
no_arene_407,c1ncn2oncsn2n1
no_arene_408,O=c1[nH]c(=O)n2[nH]ncsn2s1
no_arene_409,O=c1[nH]c(=O)c2ncncc2o1
no_arene_410,O=c1nnn2ncncc2n1
no_arene_411,O=c1ncn2onnon2o1
no_arene_412,O=c1on2nconc-2c(=O)c1=O
no_arene_413,O=c1cnon2cnc(=O)n12
no_arene_414,O=c1cc2c(=O)sc(=O)c(=O)c-2n1
no_arene_415,O=c1cnon2c(=O)nnn12
no_arene_416,c1nsn2nnon2[nH]1
no_arene_417,O=c1[nH]c(=O)n2c(=O)cn[nH]n2c1=O
no_arene_418,O=c1cnc2ocnc(=O)c2s1
no_arene_419,c1non2[nH]ncn2o1
no_arene_420,O=c1cc2oc(=O)[nH]c(=O)c2co1
no_arene_421,O=c1cc2[nH]c(=O)c(=O)[nH]c2ns1
no_arene_422,O=c1on2c(=O)[nH]cc2c(=O)s1
no_arene_423,O=c1oc2snnc(=O)c2sc1=O
no_arene_424,O=c1cc2oc(=O)cnn2c(=O)o1
no_arene_425,O=c1[nH]c(=O)n2snn[nH]n2[nH]1
no_arene_426,c1nnc2[nH]ncc2n1
no_arene_427,O=c1cc2oc(=O)c(=O)sn2c(=O)s1
no_arene_428,O=c1nnoc2nnsc(=O)c12
no_arene_429,O=c1oc(=O)c2ncsc2o1
no_arene_430,O=c1nnn2cnc(=O)n2o1
no_arene_431,O=c1ncoc2cnoc12
no_arene_432,c1noc2nocc12
no_arene_433,c1nc2cnnn2s1
no_arene_434,O=c1cnsc2oncc12
no_arene_435,O=c1[nH]c2[nH]c(=O)sc2[nH]1
no_arene_436,O=c1cnn2cn[nH]c(=O)c2n1
no_arene_437,O=c1sn2c(=O)nn[nH]n2c(=O)c1=O
no_arene_438,O=c1nnsn2[nH]cnsn12
no_arene_439,O=c1nnc2nscc2[nH]1
no_arene_440,O=c1[nH]c(=O)c2cnnn2s1
no_arene_441,O=c1sc(=O)n2nnoc(=O)n2c1=O
no_arene_442,O=c1cc2oc(=O)sc2n[nH]1
no_arene_443,c1nc2cocc2[nH]1
no_arene_444,O=c1nc2c(=O)oc(=O)sn2c(=O)s1
no_arene_445,O=c1cnn2nnc(=O)c(=O)n2s1
no_arene_446,O=c1nc2c(=O)[nH]ncc2co1
no_arene_447,O=c1nnc2ncoc(=O)c2[nH]1
no_arene_448,c1n[nH]c2csnc12
no_arene_449,O=c1[nH]n2c(=O)sc(=O)c(=O)n2[nH]1
no_arene_450,O=c1nc2onnsn-2c1=O
no_arene_451,O=c1cc2cnnnn2c(=O)s1
no_arene_452,O=c1ncc2oc(=O)c(=O)oc2[nH]1
no_arene_453,O=c1cnc2cc(=O)c(=O)nc1-2
no_arene_454,O=c1scc2c(=O)scnn2c1=O
no_arene_455,O=c1cn[nH]c2cnncc12
no_arene_456,O=c1on2c(=O)[nH]nc2sc1=O
no_arene_457,O=c1cc2cnsc2co1
no_arene_458,O=c1c(=O)c(=O)c2c(=O)ncoc2c1=O
no_arene_459,O=c1[nH]c2[nH]ncc2sc1=O
no_arene_460,O=c1sc(=O)n2[nH]nnon2s1
no_arene_461,O=c1nc2c(=O)ncoc2cs1
no_arene_462,O=c1ncn2cnsc(=O)n2c1=O
no_arene_463,O=c1[nH]c2cscnn-2c1=O
no_arene_464,O=c1[nH]cnn2[nH]nn[nH]n12
no_arene_465,O=c1nnc2c(=O)sncc2[nH]1
no_arene_466,O=c1cnnc2cnnnn12
no_arene_467,O=c1[nH]c2cncnc2s1
no_arene_468,O=c1cnn2c(=O)oc(=O)nc2o1
no_arene_469,c1nc2cscc2[nH]1
no_arene_470,O=c1ncn2c(=O)sc(=O)c(=O)n2s1
no_arene_471,O=c1nc2[nH]nnc2n[nH]1
no_arene_472,c1n[nH]c2sncsc=2s1
no_arene_473,O=c1oc(=O)c2oncoc1=2
no_arene_474,O=c1snc2sncc(=O)n2c1=O
no_arene_475,c1nncc2cscc12
no_arene_476,O=c1sn2cnncn2c1=O
no_arene_477,O=c1ncc2cnnc(=O)n2[nH]1
no_arene_478,O=c1ncn2ncsc2n1
no_arene_479,O=c1sn2ncc(=O)n2sc1=O
no_arene_480,O=c1nnn2ncsnc-2c1=O
no_arene_481,O=c1[nH]n2ocnsn2c(=O)s1
